329	-7.86486	-0.4427	-5.5	3.67
330	-8.1665	-0.2542	-5.8	3.95
331	-8.47784	-0.12397	-6.11	4.16
332	-8.79951	-0.04826	-6.44	4.31
333	-9.13222	-2.38E-02	-6.77	4.4
334	-9.47676	-0.04785	-7.11	4.44
335	-9.83403	-0.118	-7.47	4.43
336	-10.20502	-0.23235	-7.84	4.37
337	-10.59088	-0.38933	-8.23	4.26
338	-10.9929	-0.58778	-8.63	4.11
339	-11.41256	-0.82693	-9.05	3.91
340	-11.85158	-1.10639	-9.49	3.67
341	-12.31192	-1.42623	-9.95	3.39
342	-12.79589	-1.78696	-10.43	3.06
343	-13.3062	-2.18964	-10.94	2.69
344	-13.84605	-2.63594	-11.48	2.27
345	-14.41929	-3.12828	-12.05	1.8
346	-15.03057	-3.66998	-12.66	1.29
347	-15.68557	-4.26551	-13.32	0.71
348	-16.39137	-4.9208	-14.03	0.08
349	-17.1569	-5.64375	-14.79	-0.63
350	-17.99366	-6.44488	-15.63	-1.41
351	-18.9168	-7.3385	-16.55	-2.29
352	-19.94687	-8.34434	-17.58	-3.28
353	-21.11267	-9.49053	-18.75	-4.42
354	-22.45639	-10.81863	-20.09	-5.74
355	-24.04344	-12.39355	-21.68	-7.3
356	-25.98332	-14.32443	-23.62	-9.23
357	-28.48124	-16.81627	-26.13	-11.72
358	-31.99727	-20.32941	-29.65	-15.23
359	-37.9951	-26.33028	-35.67	-21.25
